certificate_id,tag_id
1,503
2,224
3,504
4,758
5,54
6,824
7,989
8,859
9,852
10,529
11,217
12,254
13,317
14,856
15,170
16,405
17,344
18,168
19,782
20,31
21,796
22,931
23,247
24,623
25,389
26,78
27,855
28,722
29,782
30,954
31,835
32,588
33,396
34,895
35,218
36,681
37,354
38,384
39,669
40,865
41,450
42,472
43,400
44,710
45,963
46,360
47,9
48,308
49,605
50,149
51,958
52,344
53,770
54,815
55,803
56,466
57,304
58,120
59,184
60,997
61,745
62,590
63,866
64,473
65,615
66,796
67,632
68,225
69,575
70,642
71,109
72,356
73,443
74,979
75,969
76,466
77,340
78,157
79,86
80,977
81,907
82,402
83,443
84,663
85,584
86,638
87,366
88,740
89,10
90,529
91,220
92,556
93,278
94,852
95,327
96,268
97,180
98,337
99,452
100,816
101,43
102,307
103,54
104,741
105,505
106,912
107,622
108,335
109,564
110,208
111,719
112,996
113,708
114,420
115,32
116,270
117,653
118,346
119,287
120,433
121,832
122,670
123,562
124,788
125,444
126,401
127,963
128,177
129,740
130,278
131,127
132,214
133,531
134,817
135,883
136,925
137,70
138,183
139,152
140,493
141,832
142,782
143,329
144,612
145,137
146,744
147,394
148,131
149,380
150,65
151,68
152,747
153,577
154,918
155,934
156,931
157,369
158,524
159,687
160,599
161,902
162,143
163,414
164,563
165,310
166,118
167,235
168,831
169,357
170,752
171,909
172,140
173,161
174,800
175,514
176,347
177,959
178,491
179,412
180,185
181,275
182,469
183,13
184,426
185,144
186,70
187,543
188,615
189,729
190,789
191,749
192,477
193,185
194,98
195,841
196,388
197,443
198,431
199,933
200,549
201,708
202,753
203,20
204,474
205,386
206,766
207,432
208,793
209,2
210,956
211,966
212,160
213,886
214,682
215,274
216,425
217,544
218,126
219,536
220,395
221,620
222,887
223,444
224,722
225,229
226,504
227,599
228,997
229,737
230,738
231,715
232,790
233,98
234,334
235,202
236,172
237,519
238,597
239,874
240,302
241,345
242,330
243,85
244,695
245,378
246,689
247,961
248,491
249,351
250,260
251,903
252,439
253,576
254,324
255,679
256,86
257,255
258,754
259,881
260,452
261,126
262,3
263,597
264,701
265,296
266,637
267,311
268,845
269,982
270,298
271,234
272,268
273,339
274,227
275,771
276,811
277,156
278,266
279,443
280,352
281,637
282,98
283,831
284,837
285,611
286,847
287,334
288,852
289,318
290,398
291,184
292,188
293,326
294,373
295,748
296,899
297,198
298,131
299,424
300,200
301,366
302,858
303,135
304,495
305,42
306,739
307,511
308,382
309,690
310,475
311,924
312,135
313,832
314,66
315,624
316,900
317,909
318,122
319,406
320,709
321,784
322,615
323,794
324,914
325,283
326,167
327,655
328,787
329,676
330,96
331,298
332,758
333,466
334,464
335,701
336,665
337,987
338,192
339,562
340,280
341,315
342,130
343,455
344,81
345,752
346,791
347,930
348,732
349,827
350,619
351,514
352,311
353,444
354,600
355,830
356,59
357,752
358,725
359,472
360,493
361,980
362,317
363,635
364,417
365,407
366,929
367,433
368,593
369,282
370,395
371,841
372,746
373,111
374,87
375,946
376,282
377,145
378,434
379,137
380,873
381,899
382,582
383,320
384,592
385,882
386,340
387,440
388,128
389,534
390,94
391,430
392,504
393,753
394,555
395,5
396,824
397,380
398,892
399,349
400,333
401,669
402,928
403,551
404,89
405,138
406,93
407,219
408,731
409,961
410,903
411,511
412,988
413,987
414,907
415,810
416,108
417,203
418,687
419,752
420,1000
421,698
422,279
423,65
424,820
425,536
426,532
427,581
428,686
429,943
430,593
431,511
432,121
433,16
434,768
435,84
436,710
437,320
438,315
439,617
440,74
