certificate_id,tag_id
26,538
70,365
90,65
22,723
74,486
8,771
74,215
95,845
25,11
50,549
68,89
81,373
45,946
34,35
72,647
82,471
57,522
79,259
49,430
85,449
95,414
86,649
51,54
45,181
78,797
49,553
85,542
7,63
17,842
55,263
82,549
35,836
4,3
3,629
36,112
17,457
31,291
15,573
32,545
21,614
53,582
98,920
52,773
39,492
14,860
16,341
90,587
59,362
55,567
30,969
46,557
73,153
27,978
85,151
57,911
24,656
79,843
81,568
67,1000
9,425
40,221
83,13
62,306
49,248
27,700
73,776
85,513
25,213
7,39
80,865
31,722
25,789
96,423
25,688
47,86
99,901
25,389
52,441
20,936
81,588
21,273
38,839
85,781
59,215
2,724
83,662
12,675
12,910
39,795
8,462
63,954
91,525
47,308
10,179
63,734
62,125
45,244
78,593
11,1000
43,277
38,718
54,533
35,853
72,10
61,314
69,917
69,872
67,313
72,396
46,19
52,247
42,740
45,697
37,146
60,307
41,930
96,724
66,365
49,182
62,276
57,453
22,107
11,557
19,34
48,84
68,944
75,827
90,71
64,823
42,964
24,205
82,793
30,160
45,101
43,849
56,669
36,139
3,747
39,306
53,649
68,945
60,434
88,962
35,530
61,141
85,662
5,621
47,167
89,986
66,386
14,174
17,248
17,209
4,879
40,546
20,135
30,101
42,751
40,847
84,617
4,415
1,524
23,224
21,141
87,581
88,311
98,860
28,831
69,96
27,661
27,533
52,577
25,922
45,811
14,37
12,423
10,452
81,746
8,330
23,337
30,772
79,295
1,302
32,994
17,32
76,63
32,759
58,529
6,275
6,191
82,767
95,793
49,436
64,690
64,7
5,278
82,78
65,780
49,564
67,195
12,338
43,279
88,680
77,276
65,503
53,512
31,275
12,180
35,695
14,85
77,322
77,855
95,619
86,987
73,695
77,21
17,993
91,570
91,133
17,490
14,69
46,56
45,282
72,916
31,391
34,6
20,459
71,127
44,45
17,97
88,593
13,49
92,13
5,943
2,977
61,593
63,893
24,163
2,637
82,626
31,364
4,764
85,220
36,352
89,164
96,342
58,798
86,534
97,849
44,258
57,655
23,13
43,589
24,784
26,721
84,587
70,324
16,712
91,708
96,698
31,56
67,112
32,369
72,646
84,865
43,873
7,405
90,651
92,668
99,125
49,224
74,795
46,434
46,524
6,58
38,305
4,494
98,681
40,675
44,837
48,205
12,594
91,732
10,151
35,806
52,667
76,733
24,715
35,672
15,24
13,642
45,105
95,431
58,208
43,125
34,62
15,374
95,512
27,411
53,233
58,331
56,616
63,475
47,254
62,732
12,460
55,264
56,748
64,96
69,111
84,528
25,900
50,23
97,290
99,304
52,365
82,174
46,346
64,325
36,206
88,777
19,770
13,595
51,665
60,467
100,241
79,912
23,892
30,934
80,147
82,970
40,266
87,974
35,749
54,130
71,289
12,250
37,444
88,56
32,980
36,555
67,234
65,664
15,864
85,53
57,273
62,41
30,159
8,538
90,559
26,384
21,615
43,679
89,978
27,558
39,277
93,665
28,835
92,651
52,793
64,390
24,451
48,5
85,887
15,504
88,869
18,145
65,545
28,797
69,545
5,724
15,644
75,756
5,397
95,548
73,28
4,978
55,192
12,740
12,739
66,232
49,430
63,866
49,587
85,889
29,708
43,292
79,515
12,115
44,447
69,498
64,287
12,468
8,402
14,454
70,82
87,48
12,176
24,760
77,505
31,612
46,529
32,176
6,718
45,452
24,150
84,616
14,888
85,137
21,417
10,165
4,441
70,675
83,208
53,295
58,544
5,665
56,37
46,159
19,28
74,746
96,173
83,531
70,38
27,217
77,762
67,502
56,320
96,730
14,162
30,267
80,382
17,85
87,392
35,65
20,99
73,707
75,404
22,494
2,612
15,261
51,653
42,46
92,211
62,451
67,343
19,112
65,38
64,971
45,586
98,757
71,700
82,300
62,753
40,561
50,482
68,765
92,139
78,764
76,832
79,377
15,761
87,181
55,199
35,497
60,340
27,756
57,93
1,991
51,278
91,828
32,674
92,617
22,803
71,558
16,994
15,645
86,254
8,4
72,130
56,920
2,409
96,897
7,587
56,140
5,916
80,798
90,876
9,832
86,36
56,857
85,139
88,555
76,107
60,314
15,168
43,419
42,299
17,801
9,412
38,963
2,266
56,547
50,189
57,558
90,547
82,837
56,113
17,486
70,399
94,178
95,32
60,490
12,213
81,21
73,266
7,755
76,436
57,100
13,587
48,810
79,415
33,952
52,137
23,177
55,664
86,769
72,739
52,476
25,961
16,316
59,230
24,217
87,826
71,421
4,815
77,640
36,729
14,385
84,332
100,985
13,290
50,891
93,835
41,758
22,558
52,596
33,72
74,219
41,499
68,774
6,667
47,663
70,897
80,236
22,619
5,844
37,190
74,817
25,295
9,845
57,807
60,156
73,148
67,166
87,378
72,782
85,164
48,175
51,968
54,510
75,458
95,710
21,269
99,712
73,492
69,688
67,984
14,913
76,416
21,977
80,196
79,463
79,970
22,796
49,828
95,999
54,182
71,788
73,910
70,982
71,776
38,517
84,289
48,306
32,775
58,484
73,425
15,480
53,970
8,339
30,95
15,757
88,720
92,921
89,512
12,317
91,133
87,46
90,945
62,761
58,832
59,93
41,935
33,162
55,582
8,709
24,98
81,249
21,835
44,392
38,161
49,685
94,632
3,503
73,78
82,506
47,497
81,563
24,641
98,524
7,206
55,343
16,230
86,964
91,611
96,312
94,464
23,569
97,207
45,472
82,190
79,520
52,660
9,682
17,213
95,972
12,915
62,867
22,938
83,114
12,990
99,390
56,581
76,798
74,740
94,148
39,442
67,343
33,282
50,8
5,588
97,767
70,760
14,818
1,351
58,462
98,815
26,267
60,560
35,702
64,297
85,138
46,111
66,538
19,334
89,507
84,386
35,814
27,252
88,895
14,713
77,347
82,540
14,976
11,88
83,447
97,673
70,465
22,152
28,724
47,946
8,131
9,227
44,662
42,421
18,355
5,673
79,256
86,473
27,81
65,14
80,853
33,388
28,205
78,783
32,560
49,109
96,646
44,398
32,120
21,46
64,956
59,953
25,538
10,959
97,887
27,493
13,636
79,895
84,341
37,593
23,590
22,657
72,873
28,250
13,223
79,870
84,990
12,345
87,480
89,853
68,893
73,796
20,627
72,941
10,484
7,557
56,708
70,70
54,36
86,338
73,705
7,68
71,642
97,504
14,934
2,936
19,49
60,175
67,662
13,31
86,12
67,259
87,597
84,737
63,124
69,858
32,592
9,429
63,840
54,523
18,233
87,615
68,432
89,801
88,776
68,741
33,279
92,184
3,210
61,161
76,194
49,226
75,321
34,93
82,993
84,578
62,733
10,66
87,373
44,275
78,483
33,139
76,404
33,682
56,50
73,21
54,176
59,234
86,613
11,598
88,716
51,475
43,497
70,748
41,76
65,949
74,481
98,325
57,971
53,903
3,200
31,588
89,258
30,509
30,805
30,517
79,474
43,963
2,975
62,426
79,178
51,349
2,379
94,384
47,619
57,103
37,374
56,838
19,765
26,212
82,270
57,488
70,14
4,400
24,340
84,677
54,835
13,346
18,289
52,329
70,144
4,214
3,854
19,845
12,195
66,218
87,738
96,742
85,737
64,734
22,327
41,459
76,705
51,984
77,614
93,415
83,859
38,988
5,584
28,894
74,213
36,974
40,280
1,409
99,357
75,879
79,620
22,484
95,292
96,353
92,4
42,904
74,324
71,78
12,470
56,717
45,789
51,132
2,767
21,786
73,705
93,307
74,62
88,110
50,57
15,171
57,850
41,913
31,395
70,910
46,312
13,122
72,48
22,384
36,513
9,256
81,218
99,192
34,46
48,721
79,447
22,93
80,248
80,113
49,340
12,416
62,339
33,189
63,129
68,386
71,641
44,331
87,183
24,93
79,352
59,304
67,303
21,412
69,380
23,720
55,304
84,265
89,514
44,83
74,155
9,347
64,980
54,223
68,37
2,976
63,763
84,239
67,909
27,796
1,407
9,556
20,429
48,614
15,685
38,664
69,109
7,435
46,368
48,38
70,307
78,947
50,687
15,79
25,654
75,530
83,213
34,598
5,196
95,398
83,615
60,151
75,88
5,501
89,366
14,548
34,10
22,231
40,506
59,823
86,742
7,708
88,704
13,539
66,75
88,25
39,125
81,355
8,59
16,401
61,301
62,620
26,979
16,997
18,887
25,365
89,487
83,306
33,990
17,141
8,651
84,923
90,558
56,735
7,10
62,665
31,52
54,291
45,683
82,687
100,916
37,704
35,667
91,621
52,924
14,420
78,125
58,144
12,344
79,405
75,52
71,716
67,908
7,544
